#,Zn_mole (mmol),Additive_mole (%),LogMolarRatio,Additive_SMILES,IUPAC_NAME,CE_1 (%),CE_2 (%),CE_3 (%),CE_aver. (%)
505,0.1,0.00409,1.38791,C([C@@H]([C@H]([C@@H](C=O)O)O)O)O,"(2S,3R,4S)-2,3,4,5-tetrahydroxypentanal",92.62937,93.82634,96.38973,94.28181
506,0.10002,0.00523,1.28162,C([C@H]([C@H]([C@@H]([C@H](CO)O)O)O)O)O,"(2R,3R,4R,5S)-hexane-1,2,3,4,5,6-hexaol",94.58941,95.33353,96.29952,95.40749
507,0.10002,0.00501,1.30039,C([C@H]([C@H]([C@@H]([C@H](C=O)O)O)O)O)O,"(2R,3S,4R,5R)-2,3,4,5,6-pentahydroxyhexanal",95.97207,95.55157,96.48881,96.00415
508,0.10002,0.00501,1.30032,C([C@H]([C@H]([C@@H]([C@@H](CO)O)O)O)O)O,"(2R,3R,4R,5R)-hexane-1,2,3,4,5,6-hexaol",96.1907,95.88856,96.42114,96.1668
509,0.10002,0.0051,1.29288,C([C@@H]([C@@H]([C@H](C=O)O)O)O)O,"(2R,3S,4S)-2,3,4,5-tetrahydroxypentanal",95.09951,95.60113,96.52917,95.74327
510,0.10002,0.00514,1.28908,C(C=O)[C@@H]([C@@H](CO)O)O,"(3S,4R)-3,4,5-trihydroxypentanal",96.2904,96.43881,96.1444,96.2912
511,0.10002,0.00507,1.29524,C([C@H]([C@H]([C@@H](C(=O)CO)O)O)O)O,"(3S,4R,5R)-1,3,4,5,6-pentahydroxyhexan-2-one",94.64643,95.7147,96.44247,95.6012
512,0.10002,0.00505,1.29716,C([C@H]([C@H]([C@H](C=O)O)O)O)O,"(2R,3R,4R)-2,3,4,5-tetrahydroxypentanal",94.69181,94.39844,94.90418,94.66481
513,0.10002,0.00512,1.29108,C([C@@H]([C@H]([C@@H](C=O)O)O)O)O,"(2S,3R,4S)-2,3,4,5-tetrahydroxypentanal",92.71878,94.01573,95.96804,94.23418
514,0.10001,0.00104,1.98418,[C@@H]([C@H](C(=O)[O-])O)(C(=O)[O-])O.[Na+].[Na+],"sodium (2R,3R)-2,3-dihydroxysuccinate",86.52357,84.54177,84.25392,85.10642
515,0.10001,0.001,1.99993,C(C(C(=O)[O-])O)C(=O)[O-].[Na+].[Na+],sodium 2-hydroxysuccinate,89.48147,90.81772,90.16199,90.15373
516,0.10001,0.001,2.00047,C([C@H]([C@H](CO)O)O)O,"(2R,3S)-butane-1,2,3,4-tetraol",97.87432,98.07094,97.78369,97.90965
517,0.10001,0.001,1.99838,CS(=O)(=O)C,(methylsulfonyl)methane,96.87478,94.64265,96.85713,96.12485
518,0.10001,0.00102,1.99309,C(CC(=O)[O-])C(=O)[O-].[Na+].[Na+],sodium succinate,89.8497,90.54448,90.8207,90.40496
519,0.10001,0.00103,1.98531,CCCO,propan-1-ol,97.24997,97.61258,97.59995,97.4875
520,0.10001,0.00102,1.99044,C1CC(=O)NC1=O,"pyrrolidine-2,5-dione",96.36898,97.13817,96.96538,96.82418
521,0.10001,0.00207,1.68316,[C@@H]([C@H](C(=O)[O-])O)(C(=O)[O-])O.[Na+].[Na+],"sodium (2R,3R)-2,3-dihydroxysuccinate",95.5298,94.90016,93.69209,94.70735
522,0.10001,0.002,1.69891,C(C(C(=O)[O-])O)C(=O)[O-].[Na+].[Na+],sodium 2-hydroxysuccinate,66.69394,67.31459,66.68049,66.89634
523,0.10001,0.002,1.69945,C([C@H]([C@H](CO)O)O)O,"(2R,3S)-butane-1,2,3,4-tetraol",98.58822,98.51246,98.30565,98.46878
524,0.10001,0.00201,1.69736,CS(=O)(=O)C,(methylsulfonyl)methane,97.06269,96.91597,96.27022,96.74963
525,0.10001,0.00203,1.69206,C(CC(=O)[O-])C(=O)[O-].[Na+].[Na+],sodium succinate,83.42274,83.74618,84.09311,83.75401
526,0.10001,0.00207,1.68428,CCCO,propan-1-ol,98.28758,98.33127,97.95386,98.1909
