Actual,Predicted,Residual
94.66481,94.68794200356811,-0.02313200356810796
95.53589,96.90385482872068,-1.3679648287206874
88.32822,97.02737839750355,-8.699158397503552
92.20437,94.35056012612202,-2.146190126122022
95.82435,97.41178885834906,-1.58743885834906
95.63263,95.89109884044156,-0.2584688404415516
97.56479,98.06960206808114,-0.5048120680811365
97.35953,97.3085702985723,0.050959701427700566
92.37537,94.86885419199307,-2.493484191993062
65.36455,63.70406418127803,1.6604858187219662
93.90363,94.44856433870117,-0.544934338701168
93.5711,90.60838509476271,2.9627149052372914
72.60278,71.45355518879398,1.149224811206011
92.40077,85.9773708368967,6.423399163103298
98.03776,97.92278155189939,0.11497844810061508
96.56755,97.42918797252752,-0.8616379725275181
88.59614,88.97073248581148,-0.3745924858114762
98.5065,99.04006527253733,-0.5335652725373308
97.83672,95.47538564469951,2.3613343553004853
94.11218,89.0735073835944,5.0386726164055915
98.45712,98.66844824226736,-0.21132824226735636
98.93035,98.91830142023285,0.012048579767153456
77.33644,68.25242075979241,9.084019240207581
94.52031,93.04516373406781,1.4751462659321817
79.03075,73.88416905010561,5.1465809498943855
95.24336,97.60316614059344,-2.3598061405934487
96.08916,95.45308046469988,0.6360795353001265
95.08076,95.6044703720624,-0.5237103720623963
93.68627,89.32450602431179,4.361763975688206
98.61599,96.82159603644149,1.7943939635585053
92.67915,93.7989723179342,-1.1198223179341937
93.32095,98.9471735787562,-5.6262235787562105
97.01176,96.86587103895768,0.14588896104231708
98.39612,97.14719657845598,1.2489234215440206
94.04693,91.45095344281845,2.595976557181558
96.60871,94.28922177629148,2.319488223708518
93.90887,93.94880602260247,-0.03993602260247542
98.30268,98.57778693798315,-0.27510693798315344
93.14215,93.94880602260247,-0.8066560226024677
98.247,97.58593496227927,0.6610650377207321
89.48092,94.91403885933856,-5.433118859338563
84.82924,88.06722041676687,-3.2379804167668738
91.96534,91.23134139543929,0.7339986045607105
98.39456,95.20375731962848,3.190802680371519
98.44062,95.94117398340768,2.499446016592316
96.95673,96.93999905986125,0.016730940138742767
95.37145,95.21943924454186,0.1520107554581358
94.78273,95.27994158777729,-0.49721158777728647
84.1123,84.17712988187282,-0.0648298818728108
98.22703,97.43519589930264,0.7918341006973577
94.4943,93.40994904241526,1.084350957584732
97.20252,96.76879921354598,0.4337207864540318
89.32141,85.07524878369645,4.246161216303548
98.26544,94.99746821850093,3.267971781499071
92.54399,92.71289708665951,-0.16890708665951593
90.89441,94.07551144745715,-3.181101447457152
64.63498,70.3508913945526,-5.715911394552606
98.57222,98.34124399648609,0.23097600351391634
96.69578,93.14261098895794,3.5531690110420584
96.55869,93.50422478100334,3.054465218996654
98.65748,96.74884564650597,1.9086343534940369
91.77435,93.81084466464556,-2.0364946646455593
96.36066,95.55214530627045,0.8085146937295491
55.02638,63.4920378605398,-8.4656578605398
98.95916,95.45738261489477,3.5017773851052283
96.74963,96.37653205717864,0.3730979428213601
97.81973,97.33336801159254,0.4863619884074666
98.72952,99.11739895426427,-0.38787895426428065
98.49756,94.79555513229039,3.7020048677096042
92.51713,92.85937515519485,-0.34224515519485976
94.76593,97.14294727160075,-2.3770172716007494
92.08473,93.81084466464556,-1.7261146646455643
79.79071,78.58737849368495,1.2033315063150525
94.48222,93.65280427299699,0.8294157270030098
98.01736,98.54177187641214,-0.5244118764121453
96.30865,91.50796520618192,4.800684793818078
91.82737,92.4032786636354,-0.5759086636354027
92.29686,87.79742036603695,4.49943963396305
96.25221,95.71087129226268,0.5413387077373244
94.57254,93.5740284947963,0.9985115052037088
96.79256,97.3216629932896,-0.5291029932896123
98.64468,96.33721497187985,2.3074650281201485
98.67079,96.52269431726756,2.148095682732432
92.05907,91.44968526868314,0.6093847313168652
98.8699,97.88867082226223,0.9812291777377737
82.15,74.73227251254039,7.417727487459615
93.63661,93.37253721307698,0.2640727869230233
92.44769,93.24345572833033,-0.7957657283303377
96.1668,95.04470667646872,1.1220933235312742
95.6012,94.87158533064331,0.7296146693566925
96.88545,96.98377483831503,-0.09832483831502259
93.41834,94.21460767551754,-0.7962676755175409
